Date,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,Site Latitude,Site Longitude,Dominant Source,Elevation (m),Measurement Scale,Measurement Scale Definition,Monitor Type,Monitoring Agency,Monitoring Objective,NAAQS Primary Monitor?,Networks,Probe Height (m),QA Primary Monitor?
2022-01-02,010030010,1,5.3,Micrograms/cubic meter (LC),29,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-05,010030010,1,8.6,Micrograms/cubic meter (LC),48,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-08,010030010,1,8.5,Micrograms/cubic meter (LC),47,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-11,010030010,1,3.7,Micrograms/cubic meter (LC),21,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-14,010030010,1,11.6,Micrograms/cubic meter (LC),56,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-17,010030010,1,5.5,Micrograms/cubic meter (LC),31,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-20,010030010,1,2.6,Micrograms/cubic meter (LC),14,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-23,010030010,1,7.1,Micrograms/cubic meter (LC),39,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-26,010030010,1,5.7,Micrograms/cubic meter (LC),32,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-01-29,010030010,1,4.4,Micrograms/cubic meter (LC),24,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-04,010030010,1,3,Micrograms/cubic meter (LC),17,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-07,010030010,1,9.8,Micrograms/cubic meter (LC),52,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-10,010030010,1,10.8,Micrograms/cubic meter (LC),54,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-13,010030010,1,5.6,Micrograms/cubic meter (LC),31,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-16,010030010,1,9.3,Micrograms/cubic meter (LC),51,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-19,010030010,1,6.2,Micrograms/cubic meter (LC),34,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-22,010030010,1,7.7,Micrograms/cubic meter (LC),43,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-25,010030010,1,3.3,Micrograms/cubic meter (LC),18,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-02-28,010030010,1,5.6,Micrograms/cubic meter (LC),31,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-03,010030010,1,13.3,Micrograms/cubic meter (LC),59,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-06,010030010,1,7.3,Micrograms/cubic meter (LC),41,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-09,010030010,1,3.4,Micrograms/cubic meter (LC),19,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-15,010030010,1,4.6,Micrograms/cubic meter (LC),26,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-18,010030010,1,8.3,Micrograms/cubic meter (LC),46,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-21,010030010,1,4.7,Micrograms/cubic meter (LC),26,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
2022-03-24,010030010,1,4,Micrograms/cubic meter (LC),22,"FAIRHOPE, Alabama",1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC - Gravimetric,19300,"Daphne-Fairhope-Foley, AL",30.497478,-87.880258,POINT,37.19,NEIGHBORHOOD,500 M TO 4KM,,Al Dept Of Env Mgt,POPULATION EXPOSURE,,,10,
